name,class,primary_fuel_type,generation_MW,generator_number,suburb,state,longitude,latitude,generation_type
Gosnells,Renewable,Biogas,1.1,1,Gosnells,Western Australia,116.0128715,-32.02275096,
KRC Cogeneration Plant,Non Renewable,Natural Gas,4.2,,Hemmant,Queensland,153.1184669,-27.44526681,Steam Subcritical
Melbourne,Non Renewable,Natural Gas,1.2,1,Melbourne,Victoria,144.9684801,-37.808596,Spark Ignition Reciprocating Engine
Carlton,Non Renewable,Natural Gas,0.4,1,Carlton,Victoria,144.9606501,-37.80611823,Compression Reciprocating Engine
Eildon Small Hydro,Renewable,Water,5,1,Eildon,Victoria,145.8974099,-37.24307176,Hydroelectric (Gravity)
Corio,Renewable,Biogas,1,1,Corio,Victoria,144.4055757,-38.05865888,Spark Ignition Reciprocating Engine
South East Water Hallam Plant,Renewable,Water,0.25,1,,Victoria,145.2781215,-38.02317811,Hydroelectric (Gravity)
Lower Rubicon,Renewable,Water,13.55,1,,Victoria,145.8457752,-37.30272459,Hydroelectric (Gravity)
Royston,Renewable,Water,0.9,1,,Victoria,145.8645268,-37.37392068,Hydroelectric (Gravity)
Rubicon Falls,Renewable,Water,0.3,1,,Victoria,145.8476787,-37.34008663,Hydroelectric (Gravity)
Leonards Hill,Renewable,Wind,4.1,2,Leonards Hill,Victoria,144.122153,-37.42713575,Wind Turbine
Box Hill,Renewable,Wind,25,,Armidale,New South Wales,151.6838899,-30.49941067,Wind Turbine
Highbury,Renewable,Biogas,2,1,Highbury,South Australia,138.7202836,-34.84902902,Spark Ignition Reciprocating Engine
Tea Tree Gully,Renewable,Biogas,1,1,St Agnes,South Australia,138.712851,-34.83032707,Spark Ignition Reciprocating Engine
Port Stanvac,Non Renewable,Distillate,57.6,36,Lonsdale,South Australia,138.4914591,-35.11039534,Compression Reciprocating Engine
Maryborough,Renewable,Biomass,7.5,,Maryborough,Queensland,152.7170961,-25.54758801,Steam Super Critical
Stapylton Green Energy,Renewable,Biomass,4.8,,Stapylton,Queensland,153.2463026,-27.73344896,Steam Subcritical
Bremer Bay Wind Turbine,Renewable,Wind,0.6,1,Bremer Bay,Western Australia,119.3914814,-34.39900715,Wind Turbine
Bremer Bay Diesel Backup,Non Renewable,Distillate,1.3,1,Bremer Bay,Western Australia,119.3888043,-34.40182818,
Coral Bay Wind Turbines,Renewable,Wind,0.83,3,Coral Bay,Western Australia,113.7720668,-23.15441917,Wind Turbine
Coral Bay Diesel Backup,Non Renewable,Distillate,2.24,8,Coral Bay,Western Australia,113.776179,-23.15214432,
Denham Wind Turbines,Renewable,Wind,0.92,4,Denham,Western Australia,113.549311,-25.91152387,Wind Turbine
Denham Diesel Backup,Non Renewable,Distillate,1.6,3,Denham,Western Australia,113.5339545,-25.91672484,
Woodman Point,Renewable,Biogas,1.8,3,Munster,Western Australia,115.771305,-32.14241986,
Henderson,Renewable,Biogas,3.2,3,Henderson,Western Australia,115.8008001,-32.16502102,
Tamala Park,Renewable,Biogas,4.65,,Tamala Park,Western Australia,115.7266449,-31.70778613,
Mandurah,Renewable,Biogas,1.3,,Mandurah,Western Australia,115.7589572,-32.50791827,
Rockingham,Renewable,Biogas,2.1,,Rockingham,Western Australia,115.8153889,-32.28632251,
South Cardup (Shale Road Landfill),Renewable,Biogas,3.3,3,South Cardup,Western Australia,116.0193144,-32.26643616,
Cue,Non Renewable,Distillate,0.8,1,Cue,Western Australia,117.8894843,-27.42124775,
Sandstone,Non Renewable,Distillate,0.4,,Sandstone,Western Australia,119.2949593,-27.98526935,
Nullagine Solar Farm,Renewable,Solar,0.2,900,Nullagine,Western Australia,120.1117234,-21.8795011,Solar Photovoltaic
Nullagine Diesel Backup,Non Renewable,Distillate,0.96,,Nullagine,Western Australia,120.1128625,-21.87944415,
Marble Bar Solar Farm,Renewable,Solar,0.3,1350,Marble Bar,Western Australia,119.7412,-21.16434463,Solar Photovoltaic
Marble Bar Diesel Backup,Non Renewable,Distillate,1.28,,Marble Bar,Western Australia,119.7418515,-21.16492293,
Derby,Non Renewable,Natural Gas,12.53,,Derby,Western Australia,123.64415,-17.31414107,
Fitzroy Crossing,Non Renewable,Natural Gas,4.06,,Fitzroy Crossing,Western Australia,125.5597112,-18.19557505,
Halls Creek,Non Renewable,Natural Gas,3.69,,Halls Creek,Western Australia,127.661897,-18.23275148,
Warmun,Non Renewable,Distillate,1.3,6,Warmun,Western Australia,128.2113196,-17.0258835,
Kununurra,Non Renewable,Distillate,12.4,1,Kununurra,Western Australia,128.739462,-15.77955678,
Laverton,Non Renewable,Distillate,1.5,1,Laverton,Western Australia,122.396468,-28.62162366,
Exmouth,Non Renewable,Natural Gas,8,7,Exmouth,Western Australia,114.1249981,-21.94645795,
Tableland,Renewable,Biomass,7,,Arriga,Queensland,145.3449699,-17.11929219,Steam Super Critical
South Johnstone,Renewable,Biomass,20,,South Johnstone,Queensland,145.9910004,-17.60568513,Steam Super Critical
Mulgrave,Renewable,Biomass,13,,Gordonvale,Queensland,145.7887114,-17.0931655,Steam Super Critical
Blue Lake Milling Power Plant,Non Renewable,Distillate,1,1,Bordertown,South Australia,140.7574619,-36.31643279,Compression Reciprocating Engine
Tatiara Meats,Non Renewable,Distillate,0.5,1,Bordertown,South Australia,140.7367694,-36.32655639,Compression Reciprocating Engine
Kalumburu,Non Renewable,Distillate,0.7,5,Kalumburu,Western Australia,126.6439552,-14.29385554,
Ardyaloon,Non Renewable,Distillate,0.8,6,Ardyaloon,Western Australia,123.0413738,-16.44441722,
Djarindjin,Non Renewable,Distillate,0.7,5,Djarindjin,Western Australia,122.9035895,-16.51990769,
Beagle Bay,Non Renewable,Distillate,0.7,5,Beagle Bay,Western Australia,122.6585086,-16.99390006,
Bidyadanga,Non Renewable,Distillate,1.3,,Lagrange,Western Australia,121.7847809,-18.68162717,
Gascoyne Junction,Non Renewable,Distillate,0.4,,Gascoyne Junction,Western Australia,115.2082892,-25.05569376,
Wiluna,Non Renewable,Distillate,1.3,,Wiluna,Western Australia,120.2185089,-26.59215989,
Yalgoo,Non Renewable,Distillate,0.4,1,Yalgoo,Western Australia,116.6834916,-28.33753663,
Carnarvon,Non Renewable,Natural Gas,15,13,Carnarvon,Western Australia,113.6753754,-24.86915968,
Mungullah,Non Renewable,Natural Gas,18,,Carnarvon,Western Australia,113.7095328,-24.89105146,
Exmouth Advanced Mini Wind Farm,Renewable,Wind,0.06,3,,Western Australia,114.1335056,-21.8126315,Wind Turbine
Worsley,Non Renewable,Coal,120,4,,Western Australia,116.0687975,-33.23549327,
Kalbarri PV System,Renewable,Solar,0.02,16,Kalbarri,Western Australia,114.1696918,-27.71524695,Solar Photovoltaic
Esperance Wind Farm Ten Mile Lagoon,Renewable,Wind,2.03,9,Esperance,Western Australia,121.7690389,-33.88016906,Wind Turbine
Muja B,Non Renewable,Coal,120,,Muja,Western Australia,116.3087195,-33.44680683,Steam Subcritical
Muja A,Non Renewable,Coal,120,,Muja,Western Australia,116.3081086,-33.44667107,Steam Subcritical
Boco Rock,Renewable,Wind,113,,Boco,New South Wales,149.10826,-36.58170602,Wind Turbine
Ben Lomond,Renewable,Wind,200,,Ben Lomond,New South Wales,151.6585299,-29.96225643,Wind Turbine
Bamarang,Non Renewable,Natural Gas,320,,Bamarang,New South Wales,150.5258221,-34.90298106,Open Cycle Gas Turbine
Bango Wind Farm,Renewable,Wind,200,,Laverstock,New South Wales,148.8695573,-34.60577782,Wind Turbine
Bankstown Sports Club,Non Renewable,Distillate,2,,Bankstown,New South Wales,151.0332436,-33.9196996,Compression Reciprocating Engine
Belconnen,Renewable,Biogas,1,1,Macgregor,Australian Capital Territory,148.9872184,-35.21418944,Spark Ignition Reciprocating Engine
Charlestown Square,Non Renewable,Natural Gas,2.8,1,Charlestown,New South Wales,151.6936125,-32.96425538,Spark Ignition Reciprocating Engine
Club Merrylands,Non Renewable,Distillate,0.8,1,Merrylands,New South Wales,150.9905038,-33.83811555,
Erskine Park,Non Renewable,Natural Gas,0.4,1,Erskine Park,New South Wales,150.8032273,-33.81820659,Spark Ignition Reciprocating Engine
Kooragang,Renewable,Wind,0.6,1,Kooragang,New South Wales,151.7477678,-32.87728143,Wind Turbine
Kalbarri Wind Farm,Renewable,Wind,1.7,2,,Western Australia,114.1945517,-27.89949853,Wind Turbine
Wodgina,Non Renewable,Natural Gas,13.7,4,,Western Australia,118.674721,-21.17388339,
Savannah Nickel Mine,Non Renewable,Distillate,10.8,,,Western Australia,128.0330764,-17.36309536,
Meekatharra,Non Renewable,Distillate,2.9,,Meekatharra,Western Australia,118.483022,-26.59517156,
Leonora,Non Renewable,Natural Gas,4.43,7,Leonora,Western Australia,121.3212747,-28.88107638,
Menzies,Non Renewable,Distillate,0.3,1,Menzies,Western Australia,121.0251779,-29.6906019,
Onslow,Non Renewable,Natural Gas,3.6,6,Onslow,Western Australia,115.0990248,-21.65822155,Spark Ignition Reciprocating Engine
Hopetoun Diesel Backup,Non Renewable,Distillate,1.3,,Hopetoun,Western Australia,120.129934,-33.90504892,
Hopetoun Wind Turbines,Renewable,Wind,1.2,2,Hopetoun,Western Australia,120.1296812,-33.90776359,Wind Turbine
Camballin,Non Renewable,Natural Gas,1.04,,Looma,Western Australia,124.1620851,-18.02775749,
Cawse Nickel Mine,Non Renewable,Natural Gas,21,,,Western Australia,121.1634809,-30.38080581,
Buronga,Non Renewable,Natural Gas,150,,Wentworth,New South Wales,142.2616602,-34.10134192,Open Cycle Gas Turbine
Glenorchy,Renewable,Biogas,1.6,2,Glenorchy,Tasmania,147.2550466,-42.84146317,Spark Ignition Reciprocating Engine
Hobart,Renewable,Biogas,1,1,South Hobart,Tasmania,147.2888298,-42.88825951,Spark Ignition Reciprocating Engine
Musselroe,Renewable,Wind,168,56,,Tasmania,148.0097387,-40.77981068,Wind Turbine
Kings Canyon,Renewable,Solar,0.24,,,Northern Territory,131.5006498,-24.25091959,Solar Photovoltaic
Bodangora Wind Farm,Renewable,Wind,100,,Bodangora,New South Wales,149.0589636,-32.41367217,Wind Turbine
Broken Hill Solar Plant,Renewable,Solar,53,,Broken Hill,New South Wales,141.3915455,-31.98670743,Solar Photovoltaic
McArthur River Mine,Non Renewable,Natural Gas,78,6,McArthur River,Northern Territory,136.0934595,-16.43349825,Reciprocating Engines
University of Queensland (St Lucia Campus) Solar Array,Renewable,Solar,1.2,5000,St Lucia,Queensland,153.0101375,-27.49495856,Solar Photovoltaic
Perth Zoo,Renewable,Solar,2.37,755,South Perth,Western Australia,115.8547801,-31.97666278,Solar Photovoltaic
Tulla Calder Interchange Solar Array,Renewable,Solar,0.24,210,Niddrie,Victoria,144.8948168,-37.73527874,Solar Photovoltaic
Bridgewater Solar,Renewable,Solar,0.14,,Bridgewater,Victoria,143.9528805,-36.61349914,Solar Photovoltaic
Monash University (Clayton Campus) Solar Array,Renewable,Solar,0.18,420,,Victoria,145.1329961,-37.91178735,Solar Photovoltaic
Queen Victoria Market Solar Array,Renewable,Solar,0.25,1328,West Melbourne,Victoria,144.9569438,-37.80694397,Solar Photovoltaic
Bendigo Solar Park,Renewable,Solar,0.3,,Bendigo,Victoria,144.303239,-36.67475242,Solar Photovoltaic
Adelaide Showgrounds,Renewable,Solar,1,,Goodwood,South Australia,138.5881935,-34.94528525,Solar Photovoltaic
Adelaide Airport,Renewable,Solar,0.11,,,South Australia,138.5376555,-34.93867455,Solar Photovoltaic
Townsville RSL Stadium Solar Array,Renewable,Solar,0.34,1800,Annandale,Queensland,146.8010543,-19.30786103,Solar Photovoltaic
Fraser Coast Community Solar Farm,Renewable,Solar,0.4,1584,Nikenbah,Queensland,152.7901683,-25.3183986,Solar Photovoltaic
Metricon (Gold Coast) Stadium Solar Array,Renewable,Solar,0.22,574,Carrara,Queensland,153.3671183,-28.00627412,Solar Photovoltaic
Carnarvon Solar Farm,Renewable,Solar,0.29,,Carnarvon,Western Australia,113.6741161,-24.89702912,Solar Photovoltaic
CSIRO Energy Centre,Renewable,Solar,1.5,,Mayfield West,New South Wales,151.7274525,-32.883473,Solar Thermal
Newington Solar Suburb,Renewable,Solar,0.67,,Newington,New South Wales,151.0538161,-33.8412921,Solar Photovoltaic
Singleton Solar Farm,Renewable,Solar,0.39,3500,Singleton,New South Wales,151.1812087,-32.59238451,Solar Photovoltaic
Kogarah Town Square Solar Array,Renewable,Solar,0.16,,Kogarah,New South Wales,151.1331504,-33.96517453,Solar Photovoltaic
Stadium Australia,Renewable,Solar,0.14,,Homebush,New South Wales,151.0640393,-33.84517807,Solar Photovoltaic
Mt Gambier,Renewable,Biomass,10,,Mount Gambier,South Australia,140.805696,-37.83884533,Cogeneration
Narrogin Bioenergy Plant,Renewable,Biomass,1,,Narrogin,Western Australia,117.191581,-32.95211795,Cogeneration
Visy Paper Gibson Island,Renewable,Biomass,2,1,Gibson Island,Queensland,153.1157946,-27.44051322,Cogeneration
Mica Creek,Non Renewable,Natural Gas,325,10,Mica Creek,Queensland,139.4904643,-20.77772624,Combined Cycle Gas Turbine
Wilpena Solar Farm,Renewable,Solar,145,1260,Wilpena Pound,South Australia,138.619757,-31.52339249,Solar Photovoltaic
Mildura Solar Farm,Renewable,Solar,1.5,40,Carwarp,Victoria,142.1832867,-34.4670898,Solar Photovoltaic
King Island (Currie),Renewable,Distillate,8.55,9,Currie,Tasmania,143.8919646,-39.93878522,
West Angelas Mine,Non Renewable,Gas,86,2,West Angelas MIne,Western Australia,118.7245217,-23.15464855,Open Cycle
Cannington Mine,Non Renewable,Natural Gas,40,22,Cannington Mine,Queensland,140.9157675,-21.86013329,Reciprocating Engines
Hallett 1 Brown Hill  Wind Farm,Renewable,Wind,94.5,45,Hallett Brown Hill,South Australia,138.7299434,-33.3949602,Wind Turbine
Hallet 5 - The Bluff,Renewable,Wind,52.5,45,Hallett Brown Hill,South Australia,138.7928315,-33.38554626,Wind Turbine
Hallett 2 Hallet Hill  Wind Farm,Renewable,Wind,71.4,34,Hallett Hill,South Australia,138.8579506,-33.57166812,Wind Turbine
Snowtown South,Renewable,Wind,126,47,Snowtown,South Australia,138.118444,-33.83016399,Wind Turbine
Cape Preston,Non Renewable,Natural Gas,450,16,Cape Preston,Western Australia,116.1590157,-21.07670614,Combined Cycle
Solomon Iron Ore Mine,Non Renewable,Natural Gas,125,,,Western Australia,117.9848638,-22.15813879,Gas Turbine
Diamantina,Non Renewable,Natural Gas,242,6,Mt Isa,Queensland,139.4832674,-20.78374958,Combined Cycle Gas Turbine
Leichhardt,Non Renewable,Natural Gas,60,1,Mt Isa,Queensland,139.4862207,-20.7833352,Combined Cycle Gas Turbine
Bulwer Island,Non Renewable,Natural Gas,33,3,Brisbane,Queensland,153.1362858,-27.40357955,Cogeneration
Cape Lambert,Non Renewable,Natural Gas,105,3,Point Samson,Western Australia,117.1407313,-20.64877064,
Ernabella,Non Renewable,Distillate,0.01,4,Ernabella,South Australia,132.131371,-26.27796062,
Umuwa,Renewable,Solar,0.35,10,Umuwa,South Australia,132.0146568,-26.4735559,Solar Photovoltaic
Yuendumu,Renewable,Solar,0.24,10,Yuendumu,Northern Territory,131.7931457,-22.24259062,Solar Photovoltaic
Lajamanu,Renewable,Solar,0.29,12,Lajamanu,Northern Territory,130.6294897,-18.32650367,Solar Photovoltaic
Windorah,Renewable,Solar,0.13,5,Windorah,Queensland,142.6607615,-25.41266443,Solar Photovoltaic
DoubleTree by Hilton Hotel,Renewable,Solar,0.3,1326,Alice Springs,Northern Territory,133.8794539,-23.71496761,Solar Photovoltaic
Alice Springs Airport,Renewable,Solar,0.24,28,Connellan,Northern Territory,133.8971208,-23.79656983,Solar Photovoltaic
Uterne Solar,Renewable,Solar,1,3048,Arumbera,Northern Territory,133.8682102,-23.76851739,Solar Photovoltaic
Hermannsburg,Renewable,Solar,0.19,8,Hermannsburg,Northern Territory,132.7719282,-23.93736458,Solar Photovoltaic
Ballarat Solar Park,Renewable,Solar,0.3,2000,Mitchell Park,Victoria,143.7854729,-37.51437136,Solar Photovoltaic
Liddell Solar Thermal,Renewable,Solar,9.3,1000,Liddell,New South Wales,150.9796673,-32.37606915,Solar Thermal
Greenough River Solar Farm,Renewable,Solar,10,,Walkaway,Western Australia,115.1119375,-28.90431806,Solar Photovoltaic
Mumbida Wind Farm,Renewable,Wind,55,22,Mount Hill,Western Australia,114.9598878,-28.99180488,Wind Turbine
Nyngan Solar Plant,Renewable,Solar,102,,Nyngan,New South Wales,147.085352,-31.55274036,Solar Photovoltaic
Wadeye,Non Renewable,Natural Gas,6.8,4,Wadeye,Northern Territory,129.5368436,-14.260185,Reciprocating Engines
Traralgon Network Support Station,Renewable,Biogas,10,,East Traralgon,Victoria,146.5654322,-38.1792569,Spark Ignition Reciprocating Engine
Gullen Range Wind Farm,Renewable,Wind,166,73,Bannister,New South Wales,149.4841144,-34.69037507,Wind Turbine
Lake Bonney Stage 1 Wind Farm,Renewable,Wind,80.5,46,Millicent,South Australia,140.4057917,-37.78154577,Wind Turbine
Lake Bonney Stage 3 Wind Farm,Renewable,Wind,39,13,Millicent,South Australia,140.3930292,-37.75049632,Wind Turbine
Royalla Solar farm,Renewable,Wind,20,,Royalla,Australian Capital Territory,149.1442612,-35.4900093,Wind Turbine
Timber Creek,Non Renewable,Diesel,1,0,Timber Creek,Northern Territory,130.4790141,-15.65618096,
Daly Waters,Renewable,Solar,0.2,,Daly Waters,Northern Territory,133.3758544,-16.26963456,Solar Photovoltaic
Elliott,Non Renewable,Diesel,1,0,Elliott,Northern Territory,133.5392966,-17.55036755,
Ti-Tree,Renewable,Solar,0.3,,Ti-Tree,Northern Territory,133.4146272,-22.12423175,Solar Photovoltaic
Roy Hill,Non Renewable,Distillate,6,,Newman,Western Australia,119.9471869,-22.48123779,Spark Ignition Reciprocating Engine
Moree,Renewable,Solar,60,,Moree,New South Wales,149.8669179,-29.57217585,Solar Photovoltaic
Gullen Range Wind Farm,Renewable,Wind,165.5,73,Bannister,New South Wales,149.4597433,-34.61491677,Wind Turbine
Mortons Lane Wind Farm,Renewable,Wind,20,13,Nareeb,Victoria,142.4653129,-37.84134167,Wind Turbine
Racecourse Mill,Renewable,Biomass,3.5,1,Farleigh,Queensland,149.1344086,-21.163451,Steam Subcritical
