name,class,primary_fuel_type,generation_MW,generator_number,suburb,state,longitude,latitude,generation_type
Murray 2,Renewable,Water,552,4,Khancoban,New South Wales,148.136247,-36.242344,Hydroelectric (Gravity)
Murray 1,Renewable,Water,950,10,Khancoban,New South Wales,148.190095,-36.246713,Hydroelectric (Gravity)
Cape Sir William Grant Wind Farm,Renewable,Wind,54,27,Portland,Victoria,141.6208504,-38.39759342,Wind Turbine
Cape Nelson South Wind Farm,Renewable,Wind,44,22,Portland West,Victoria,141.543,-38.41199995,Wind Turbine
Cape Nelson North Wind Farm,Renewable,Wind,22,11,Portland West,Victoria,141.542959,-38.367637,Wind Turbine
Ballarat Base Hospital,Non Renewable,Natural Gas,3,,Ballarat Central,Victoria,143.846918,-37.559607,Compression Reciprocating Engine
Anglesea,Non Renewable,Coal,165,1,Anglesea,Victoria,144.182789,-38.386056,Steam Subcritical
Remount,Renewable,Biogas,2.2,2,Mowbray,Tasmania,147.155425,-41.395049,
Wayatinah,Renewable,Water,38.3,3,Wayatinah,Tasmania,146.534709,-42.427176,Hydroelectric (Gravity)
Tungatinah,Renewable,Water,125,5,Tarraleah,Tasmania,146.456543,-42.296671,Hydroelectric (Gravity)
Tods Corner,Renewable,Water,1.7,1,Central Plateau,Tasmania,146.793785,-41.970732,Hydroelectric (Gravity)
Tarraleah,Renewable,Water,90,6,Tarraleah,Tasmania,146.457156,-42.301208,Hydroelectric (Gravity)
Meadowbank,Renewable,Water,40,1,Meadowbank,Tasmania,146.845676,-42.611199,Hydroelectric (Gravity)
Liapootah,Renewable,Water,87.3,3,Wayatinah,Tasmania,146.50989,-42.376317,Hydroelectric (Gravity)
Cluny,Renewable,Water,17,1,Ouse,Tasmania,146.6811623,-42.50642303,Hydroelectric (Gravity)
Catagunya,Renewable,Water,48,2,Ouse,Tasmania,146.5976867,-42.45238115,Hydroelectric (Gravity)
Butlers Gorge,Renewable,Water,14.4,1,Butlers Gorge,Tasmania,146.2617581,-42.26689751,Hydroelectric (Gravity)
Rowallan,Renewable,Water,10.5,1,Mersey Forest,Tasmania,146.2175929,-41.72952308,Hydroelectric (Gravity)
Lower Lake Margaret,Renewable,Water,3.2,1,Lake Margaret,Tasmania,145.5261095,-42.01471994,Hydroelectric (Gravity)
Lemonthyme,Renewable,Water,81.6,1,Mersey Forest,Tasmania,146.139022,-41.603763,Hydroelectric (Gravity)
Upper Lake Margaret,Renewable,Water,8.4,7,Lake Margaret,Tasmania,145.543699,-42.004567,Hydroelectric (Gravity)
Fisher,Renewable,Water,43.2,1,Mersey Forest,Tasmania,146.2686839,-41.67319259,Hydroelectric (Gravity)
Tamar Valley,Non Renewable,Natural Gas,390,5,Bell Bay,Tasmania,146.9036362,-41.1401247,Combined Cycle Gas Turbine
Inkerman Sugar Mill,Renewable,Biomass,10.5,2,Home Hill,Queensland,147.401591,-19.642155,Cogeneration - Steam Subcritical
Mackay,Non Renewable,Natural Gas,30,1,West Mackay,Queensland,149.159097,-21.144566,Open Cycle Gas Turbine
Roma,Non Renewable,Natural Gas,80,2,Roma,Queensland,148.840199,-26.577201,Open Cycle Gas Turbine
Swanbank B,Non Renewable,Coal,480,4,Swanbank,Queensland,152.8144521,-27.66006546,Steam Subcritical
