Year,Energy_Consumption,Industry,State
2005,73.1,Total,Northern Territory
2006,82.8,Total,Northern Territory
2007,96.1,Total,Northern Territory
2008,95.2,Total,Northern Territory
2009,98.8,Total,Northern Territory
2010,96.4,Total,Northern Territory
2011,97.8,Total,Northern Territory
2012,99.8,Total,Northern Territory
2013,99.7,Total,Northern Territory
2014,90.7,Total,Northern Territory
2015,90.6,Total,Northern Territory
